Drive,Predicted_TTF,Status,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,issues
933,90.09,preventative measures,90053968,0,3,512,2.957566777e-315,11024,0,3,0.0,1025.0,23.0,8,8,0,5.4416e-320,"{'SMART 5: Reallocated Sectors Count': 'Critical', 'SMART 197: Current Pending Sector Count': 'Warning'}"
957,107.1,preventative measures,0,483,9,5,0.0,19737,0,8,10.0,10.0,25.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Warning'}
979,82.0,preventative measures,196762088,0,20,0,2.82608002e-315,26080,0,20,0.0,164875.0,27.0,0,0,0,1.12431825001307e-309,{}
1025,112.52,preventative measures,0,612,19,53,0.0,43172,0,19,1110.0,1110.0,39.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1029,111.37,preventative measures,31124616,0,13,0,3.07044216e-315,26678,0,13,0.0,138195.0,34.0,0,0,0,2.52008220266136e-310,{}
1040,84.19,preventative measures,70276408,0,9,0,1.5089880819e-313,6875,0,8,0.0,5049.0,26.0,0,0,0,1.31096899969166e-309,{}
1042,93.91,preventative measures,0,900,27,0,0.0,19796,0,26,10.0,227053.0,34.0,0,0,0,9.6323e-320,{}
1044,84.46,preventative measures,0,4033,25,0,0.0,28766,0,23,16.0,25.0,38.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1046,196.34,preventative measures,162125192,0,2,0,2.15413366e-315,9919,0,2,0.0,9642.0,29.0,0,0,0,4.8685e-320,{}
1058,90.69,preventative measures,0,483,9,5,0.0,20145,0,8,10.0,10.0,26.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Warning'}
1080,98.4,preventative measures,186037088,0,4,0,2.76878224e-315,20704,0,4,1.0,6495.0,22.0,0,0,0,1.02153e-319,{}
1093,109.02,preventative measures,219904728,0,2,8,8.25028033e-316,4086,0,2,0.0,38872.0,24.0,0,0,0,1.8587e-320,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1096,104.74,preventative measures,0,634,113,256,0.0,40633,0,111,1088.0,1088.0,31.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1105,90.79,preventative measures,242902728,0,2,0,1.276769175e-315,6418,0,2,0.0,20633.0,19.0,48,48,0,3.1096e-320,{'SMART 197: Current Pending Sector Count': 'Critical'}
1108,94.15,preventative measures,1245186,628,34,1,0.0,47784,0,33,1372.0,1372.0,28.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Warning'}
1111,112.65,preventative measures,206078247,0,17,0,4.967793123e-315,12575,0,15,0.0,4183.0,26.0,0,0,0,1.35932928379649e-309,{}
1112,92.16,preventative measures,0,4133,16,0,0.0,36141,0,15,6.0,9.0,29.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1156,135.01,preventative measures,51261776,0,12,0,5.8304597e-316,16183,0,12,2.0,28136.0,23.0,0,0,2,7.937e-320,{}
1158,94.1,preventative measures,126984496,0,16,64,3.23851558e-315,21647,0,16,6.0,3240.0,24.0,0,0,0,1.19801516381212e-309,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1160,88.69,preventative measures,62544312,0,3,0,4.1959395e-317,914,0,3,0.0,30530.0,26.0,0,0,0,3.33e-321,{}
1176,96.58,preventative measures,97497968,0,1,0,2.6367959e-316,1382,0,1,0.0,6749.0,29.0,0,0,0,6.12e-321,{}
1193,129.41,preventative measures,15017960,0,14,0,2.09231977e-315,19229,0,14,6.0,25971.0,31.0,0,0,0,1.11345363152947e-309,{}
1195,124.81,preventative measures,18585048,0,5,0,3.20394398e-315,21184,0,5,2.0,4602.0,19.0,0,0,0,1.8013622279948e-310,{}
1199,104.77,preventative measures,162088632,0,13,0,3.08252487e-315,26847,0,13,0.0,141522.0,34.0,0,0,0,6.27452935562447e-310,{}
1206,104.54,preventative measures,0,4033,25,0,0.0,28359,0,23,16.0,25.0,37.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1216,102.98,preventative measures,232808824,0,9,0,1.406382347e-315,17138,0,9,4.0,35110.0,21.0,0,0,0,8.397e-320,{}
1276,84.2,preventative measures,100783069,0,17,0,4.9613697e-315,12552,0,15,0.0,4182.0,25.0,0,0,0,1.007820681022983e-309,{}
1277,109.04,preventative measures,57300936,0,9,0,1.906998987e-315,17909,0,9,4.0,679.0,34.0,0,0,1,8.8443e-320,{}
1290,128.96,preventative measures,21176352,0,8,0,3.923424043e-315,14601,0,8,1.0,15676.0,29.0,0,0,0,7.0874e-320,{}
1293,105.1,preventative measures,239214544,0,8,0,2.22314753e-315,8431,0,8,0.0,3878.0,22.0,0,0,0,4.1576e-320,{}
1310,85.32,preventative measures,79560776,0,4,0,2.75475433e-315,20632,0,4,1.0,6495.0,21.0,0,0,0,1.01797e-319,{}
1313,124.43,preventative measures,104681376,0,1,0,1.281153953e-315,6633,0,1,0.0,19700.0,31.0,0,0,0,3.216e-320,{}
1315,98.47,preventative measures,202652848,0,4,0,2.716781414e-315,20441,0,4,1.0,6495.0,20.0,0,0,0,1.0085e-319,{}
1322,106.04,preventative measures,202471360,0,14,0,1.73110125e-315,18014,0,13,1.0,38434.0,20.0,0,0,0,8.8206e-320,{}
1326,108.26,preventative measures,0,4325,68,0,0.0,33436,0,67,7.0,68.0,24.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1330,96.43,preventative measures,171063264,0,8,0,3.943706965e-315,14697,0,8,1.0,15676.0,29.0,0,0,0,7.1343e-320,{}
1335,92.23,preventative measures,0,575,23,0,0.0,38356,0,23,1459.0,1459.0,27.0,1,0,0,0.0,{'SMART 197: Current Pending Sector Count': 'Warning'}
1341,92.6,preventative measures,0,483,9,5,0.0,20217,0,8,10.0,10.0,26.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Warning'}
1342,108.82,preventative measures,145616488,0,11,0,3.259610267e-315,21672,0,11,5.0,15397.0,25.0,0,0,0,1.0677e-319,{}
1347,111.98,preventative measures,185249832,0,25,0,2.13244511e-315,20891,0,25,7.0,103169.0,21.0,0,0,0,1.00834e-319,{}
1349,116.84,preventative measures,219407280,0,9,0,1.202388353e-315,6199,0,9,0.0,22687.0,20.0,16,16,0,2.995e-320,{'SMART 197: Current Pending Sector Count': 'Critical'}
1352,105.4,preventative measures,0,4091,22,0,0.0,32830,0,20,11.0,22.0,31.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1363,109.89,preventative measures,242995248,0,5,8,9.95030746e-316,15610,0,5,3.0,1146.0,29.0,0,0,0,7.71e-320,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1396,91.27,preventative measures,0,4058,61,0,0.0,35873,0,59,17.0,43.0,37.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1403,115.42,preventative measures,0,612,19,53,0.0,43028,0,19,1105.0,1105.0,39.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1415,180.56,preventative measures,210962232,0,2,0,2.340274949e-314,9919,0,2,0.0,9259.0,29.0,0,0,0,4.8695e-320,{}
1428,110.65,preventative measures,170222664,0,3,0,1.597568534e-315,8072,0,3,0.0,43652.0,19.0,8,8,0,3.9145e-320,{'SMART 197: Current Pending Sector Count': 'Warning'}
1453,96.74,preventative measures,3527160,0,15,0,2.2106098e-315,19284,0,15,6.0,15977.0,30.0,0,0,0,1.17783498382778e-309,{}
1470,91.1,preventative measures,98637576,0,4,0,2.726138593e-315,20488,0,4,1.0,6495.0,21.0,0,0,0,1.01086e-319,{}
1485,88.2,preventative measures,221953840,0,13,0,3.38966669e-315,21819,0,13,2.0,33462.0,24.0,0,0,0,1.21861974294264e-309,{}
1490,106.32,preventative measures,0,4091,22,0,0.0,32805,0,20,11.0,22.0,31.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1492,118.07,preventative measures,183659768,0,2,0,8.1331058e-316,2557,0,2,0.0,2102.0,26.0,0,0,0,1.236e-320,{}
1495,100.61,preventative measures,0,650,136,0,0.0,2702,0,136,38.0,29233.0,30.0,0,0,0,0.0,{}
1499,129.48,preventative measures,237605888,0,2,0,1.170429534e-315,5575,0,2,0.0,32788.0,21.0,0,0,0,2.6917e-320,{}
1523,107.59,preventative measures,5030040,0,7,0,2.393914604e-315,7045,0,7,0.0,7590.0,23.0,0,0,0,3.466e-320,{}
1524,94.39,preventative measures,18224104,0,5,0,7.0742053e-316,15728,0,5,3.0,5913.0,32.0,0,0,0,1.27572264964776e-309,{}
1531,87.03,preventative measures,82359072,0,8,0,2.315795967e-315,8840,0,8,0.0,3878.0,23.0,0,0,0,4.3596e-320,{}
1560,98.97,preventative measures,82807112,0,8,0,2.19451778e-315,8365,0,8,0.0,2356.0,22.0,0,0,0,4.1225e-320,{}
1566,103.29,preventative measures,104957776,0,1,0,1.241538955e-315,6369,0,1,0.0,19456.0,30.0,0,0,0,3.0854e-320,{}
1576,86.15,preventative measures,68977888,0,22,0,2.916071523e-315,25980,0,22,0.0,178231.0,28.0,0,0,0,5.75739898132216e-310,{}
1580,108.39,preventative measures,132334680,0,55,0,2.201443367e-315,20063,0,55,49.0,12770.0,27.0,0,0,2,3.8817669013983e-310,{}
1583,98.81,preventative measures,27509624,0,9,0,1.89344329e-315,17860,0,9,4.0,679.0,35.0,0,0,1,8.8206e-320,{}
1595,175.45,preventative measures,233226112,0,37,0,2.44731164e-315,18678,0,37,0.0,76906.0,29.0,0,0,0,1.31973284236674e-309,{}
1596,114.47,preventative measures,223460160,0,7,0,2.288048885e-315,19259,0,7,1.0,19207.0,24.0,0,0,0,1.75022212933474e-310,{}
1625,98.5,preventative measures,7,0,4,0,0.0,5312,0,4,0.0,185.0,26.0,0,0,0,0.0,{}
1636,127.09,preventative measures,16992112,0,12,0,5.7621328e-316,16159,0,12,2.0,28136.0,23.0,0,0,2,7.926e-320,{}
1644,95.95,preventative measures,0,4033,25,0,0.0,28431,0,23,16.0,25.0,36.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1646,150.19,preventative measures,40372804,570,15,217,0.0,25604,0,15,18.0,18.0,19.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1661,89.29,preventative measures,0,6362,12,0,0.0,7523,0,12,0.0,116.0,35.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Critical'}
1663,101.86,preventative measures,145567480,0,7,0,1.996222193e-315,20383,0,7,1.0,8760.0,20.0,0,0,0,1.0047e-319,{}
1678,105.94,preventative measures,0,4183,26,0,0.0,32828,0,23,11.0,26.0,31.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1680,89.62,preventative measures,218276392,0,5,0,1.403241068e-315,17246,0,5,1.0,6174.0,16.0,0,0,0,1.16771306389537e-309,{}
1685,114.33,preventative measures,92984560,0,7,0,3.87641564e-316,15970,0,7,1.0,147448.0,26.0,0,0,0,7.5943e-320,{}
1697,101.01,preventative measures,145526544,0,2,0,7.69714707e-316,2557,0,2,0.0,2103.0,23.0,0,0,0,1.2594e-320,{}
1719,82.85,preventative measures,241479832,0,4,3784,5.3188701e-316,2338,0,4,0.0,2309.0,34.0,0,0,0,1.116e-320,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1742,97.34,preventative measures,0,4091,22,0,0.0,33021,0,20,11.0,22.0,30.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1753,88.37,preventative measures,131073,620,26,7,0.0,45229,0,26,1317.0,1317.0,23.0,1,0,0,0.0,"{'SMART 5: Reallocated Sectors Count': 'Critical', 'SMART 197: Current Pending Sector Count': 'Warning'}"
1768,112.61,preventative measures,85603416,0,3,0,1.57796925e-315,7976,0,3,0.0,43652.0,20.0,8,8,0,3.867e-320,{'SMART 197: Current Pending Sector Count': 'Warning'}
1791,113.14,preventative measures,156687680,0,2,0,1.09452329e-315,5648,0,2,0.0,32532.0,23.0,0,0,0,2.7253e-320,{}
1792,98.33,preventative measures,0,4283,19,0,0.0,32981,0,16,10.0,19.0,31.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
1802,102.7,preventative measures,137292416,0,1,0,2.822798525e-315,9439,0,1,0.0,86.0,35.0,0,0,0,4.663e-320,{}
1805,100.09,preventative measures,18640378,0,25,0,1.788192349e-314,25200,0,25,9.0,25.0,34.0,0,0,0,9.0607098290877e-310,{}
1809,104.0,preventative measures,0,612,19,53,0.0,43388,0,19,1116.0,1116.0,40.0,0,0,0,0.0,{'SMART 5: Reallocated Sectors Count': 'Critical'}
1817,101.83,preventative measures,7,0,4,0,0.0,5287,0,4,0.0,184.0,25.0,0,0,0,0.0,{}
